"Benchmark","R","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"checkNearestNSWE","L1-dcache-loads","thrpt",4,1,132221.370300,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","L1-dcache-stores","thrpt",4,1,1449.420684,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","L1-icache-load-misses","thrpt",4,1,683.862514,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","L1-icache-loads","thrpt",4,1,296141.760670,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","LLC-load-misses","thrpt",4,1,0.000425,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","LLC-loads","thrpt",4,1,5510.076407,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","LLC-store-misses","thrpt",4,1,0.000417,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","LLC-stores","thrpt",4,1,47.421175,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","branch-misses","thrpt",4,1,17.023556,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","branches","thrpt",4,1,61429.147968,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","cycles","thrpt",4,1,1034765.463959,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","dTLB-load-misses","thrpt",4,1,2450.212007,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","dTLB-loads","thrpt",4,1,132283.310341,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","dTLB-store-misses","thrpt",4,1,2.340984,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","dTLB-stores","thrpt",4,1,1450.067341,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","iTLB-load-misses","thrpt",4,1,35.327978,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","instructions","thrpt",4,1,618815.289153,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","rate","thrpt",4,10,711.133011,0.259781,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWE","CPI","thrpt",4,1,1.171312,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWE","IPC","thrpt",4,1,0.853744,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWE","L1-dcache-loads","thrpt",4,1,601714.850396,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","L1-dcache-stores","thrpt",4,1,35892.169359,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","L1-icache-load-misses","thrpt",4,1,1410.425016,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","L1-icache-loads","thrpt",4,1,937012.494219,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","LLC-load-misses","thrpt",4,1,0.002333,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","LLC-loads","thrpt",4,1,1301.207104,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","LLC-store-misses","thrpt",4,1,0.003348,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","LLC-stores","thrpt",4,1,52.315137,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","branch-misses","thrpt",4,1,22387.123148,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","branches","thrpt",4,1,655079.017262,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","cycles","thrpt",4,1,4333961.564340,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","dTLB-load-misses","thrpt",4,1,93.619812,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","dTLB-loads","thrpt",4,1,601793.646797,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","dTLB-store-misses","thrpt",4,1,1.072901,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","dTLB-stores","thrpt",4,1,35894.545627,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","iTLB-load-misses","thrpt",4,1,159.052513,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE","instructions","thrpt",4,1,3700092.469490,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","rate","thrpt",4,10,3203.969171,4.702149,"ops/s",RANDOM
"checkNearestNSWEBytes","CPI","thrpt",4,1,1.169751,NaN,"clks/insn",RANDOM
"checkNearestNSWEBytes","IPC","thrpt",4,1,0.854883,NaN,"insns/clk",RANDOM
"checkNearestNSWEBytes","L1-dcache-loads","thrpt",4,1,179874.151424,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","L1-dcache-stores","thrpt",4,1,11312.162835,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","L1-icache-load-misses","thrpt",4,1,714.612417,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","L1-icache-loads","thrpt",4,1,255236.064948,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","LLC-load-misses","thrpt",4,1,0.001233,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","LLC-loads","thrpt",4,1,3238.341659,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","LLC-store-misses","thrpt",4,1,0.000948,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","LLC-stores","thrpt",4,1,64.472464,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","branch-misses","thrpt",4,1,736.083709,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","branches","thrpt",4,1,99874.133431,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","cycles","thrpt",4,1,949128.773551,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","dTLB-load-misses","thrpt",4,1,1318.720701,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","dTLB-loads","thrpt",4,1,179933.896247,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","dTLB-store-misses","thrpt",4,1,2.585410,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","dTLB-stores","thrpt",4,1,11314.582931,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","iTLB-load-misses","thrpt",4,1,40.981177,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","instructions","thrpt",4,1,811393.612119,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","rate","thrpt",4,10,22483.635863,17.530306,"ops/s",FLAT_BLOCK
"checkNearestNSWEBytes","CPI","thrpt",4,1,0.404121,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWEBytes","IPC","thrpt",4,1,2.474506,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWEBytes","L1-dcache-loads","thrpt",4,1,50164.817502,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","L1-dcache-stores","thrpt",4,1,200.079827,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","L1-icache-load-misses","thrpt",4,1,8.569982,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","L1-icache-loads","thrpt",4,1,41968.666913,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","LLC-load-misses","thrpt",4,1,0.000000,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","LLC-loads","thrpt",4,1,1.162439,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","LLC-store-misses","thrpt",4,1,0.000011,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","LLC-stores","thrpt",4,1,0.593651,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","branch-misses","thrpt",4,1,11.653965,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","branches","thrpt",4,1,59927.794099,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","cycles","thrpt",4,1,137265.420635,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","dTLB-load-misses","thrpt",4,1,0.971761,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","dTLB-loads","thrpt",4,1,50255.335376,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","dTLB-store-misses","thrpt",4,1,0.050959,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","dTLB-stores","thrpt",4,1,200.045753,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","iTLB-load-misses","thrpt",4,1,5.033111,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","instructions","thrpt",4,1,339664.173367,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","rate","thrpt",4,10,4301.663197,22.687204,"ops/s",COMPLEX_BLOCK
"checkNearestNSWEBytes","CPI","thrpt",4,1,1.185067,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWEBytes","IPC","thrpt",4,1,0.843834,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWEBytes","L1-dcache-loads","thrpt",4,1,121381.131064,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","L1-dcache-stores","thrpt",4,1,10942.725696,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","L1-icache-load-misses","thrpt",4,1,432.768227,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","L1-icache-loads","thrpt",4,1,222441.956288,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","LLC-load-misses","thrpt",4,1,0.000640,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","LLC-loads","thrpt",4,1,3145.977269,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","LLC-store-misses","thrpt",4,1,0.000201,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","LLC-stores","thrpt",4,1,41.551986,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","branch-misses","thrpt",4,1,15.347548,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","branches","thrpt",4,1,71027.659494,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","cycles","thrpt",4,1,707261.702030,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","dTLB-load-misses","thrpt",4,1,1278.138860,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","dTLB-loads","thrpt",4,1,122086.397107,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","dTLB-store-misses","thrpt",4,1,2.124130,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","dTLB-stores","thrpt",4,1,11012.096954,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","iTLB-load-misses","thrpt",4,1,24.351376,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","instructions","thrpt",4,1,596811.566247,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","rate","thrpt",4,10,698.859007,0.594099,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWEBytes","CPI","thrpt",4,1,0.980138,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWEBytes","IPC","thrpt",4,1,1.020264,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWEBytes","L1-dcache-loads","thrpt",4,1,582143.755022,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","L1-dcache-stores","thrpt",4,1,16014.805799,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","L1-icache-load-misses","thrpt",4,1,1308.882049,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","L1-icache-loads","thrpt",4,1,1089290.083464,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","LLC-load-misses","thrpt",4,1,0.001255,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","LLC-loads","thrpt",4,1,927.539437,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","LLC-store-misses","thrpt",4,1,0.006392,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","LLC-stores","thrpt",4,1,46.621829,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","branch-misses","thrpt",4,1,23758.104561,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","branches","thrpt",4,1,665246.311453,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","cycles","thrpt",4,1,4415036.733566,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","dTLB-load-misses","thrpt",4,1,62.762542,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","dTLB-loads","thrpt",4,1,582039.606834,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","dTLB-store-misses","thrpt",4,1,0.629982,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","dTLB-stores","thrpt",4,1,16031.509184,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","iTLB-load-misses","thrpt",4,1,153.272382,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","instructions","thrpt",4,1,4504504.009547,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","rate","thrpt",4,10,3201.087528,5.738758,"ops/s",RANDOM
"checkNearestNSWEBytesGen","CPI","thrpt",4,1,1.175459,NaN,"clks/insn",RANDOM
"checkNearestNSWEBytesGen","IPC","thrpt",4,1,0.850732,NaN,"insns/clk",RANDOM
"checkNearestNSWEBytesGen","L1-dcache-loads","thrpt",4,1,179883.406066,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","L1-dcache-stores","thrpt",4,1,11314.476916,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","L1-icache-load-misses","thrpt",4,1,619.467706,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","L1-icache-loads","thrpt",4,1,248103.025017,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","LLC-load-misses","thrpt",4,1,0.002001,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","LLC-loads","thrpt",4,1,3203.439531,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","LLC-store-misses","thrpt",4,1,0.000758,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","LLC-stores","thrpt",4,1,59.335657,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","branch-misses","thrpt",4,1,701.444655,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","branches","thrpt",4,1,99886.291758,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","cycles","thrpt",4,1,950285.479723,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","dTLB-load-misses","thrpt",4,1,1336.205460,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","dTLB-loads","thrpt",4,1,179928.014802,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","dTLB-store-misses","thrpt",4,1,2.542290,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","dTLB-stores","thrpt",4,1,11316.615877,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","iTLB-load-misses","thrpt",4,1,39.244085,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","instructions","thrpt",4,1,808437.990434,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","rate","thrpt",4,10,22599.387374,27.658332,"ops/s",FLAT_BLOCK
"checkNearestNSWEBytesGen","CPI","thrpt",4,1,0.402099,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWEBytesGen","IPC","thrpt",4,1,2.486951,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWEBytesGen","L1-dcache-loads","thrpt",4,1,50155.309922,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","L1-dcache-stores","thrpt",4,1,198.611313,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","L1-icache-load-misses","thrpt",4,1,9.914514,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","L1-icache-loads","thrpt",4,1,42093.662061,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","LLC-load-misses","thrpt",4,1,0.000009,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","LLC-loads","thrpt",4,1,1.355831,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","LLC-store-misses","thrpt",4,1,0.000156,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","LLC-stores","thrpt",4,1,0.408507,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","branch-misses","thrpt",4,1,11.639346,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","branches","thrpt",4,1,59916.863759,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","cycles","thrpt",4,1,136555.416057,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","dTLB-load-misses","thrpt",4,1,3.480988,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","dTLB-loads","thrpt",4,1,50252.885191,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","dTLB-store-misses","thrpt",4,1,0.006189,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","dTLB-stores","thrpt",4,1,198.919399,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","iTLB-load-misses","thrpt",4,1,4.174400,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","instructions","thrpt",4,1,339606.579587,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","rate","thrpt",4,10,4347.815271,18.018812,"ops/s",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","CPI","thrpt",4,1,1.174830,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","IPC","thrpt",4,1,0.851187,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","L1-dcache-loads","thrpt",4,1,121355.420065,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","L1-dcache-stores","thrpt",4,1,10933.623490,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","L1-icache-load-misses","thrpt",4,1,431.890834,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","L1-icache-loads","thrpt",4,1,220008.747785,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","LLC-load-misses","thrpt",4,1,0.000598,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","LLC-loads","thrpt",4,1,3093.484979,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","LLC-store-misses","thrpt",4,1,0.000257,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","LLC-stores","thrpt",4,1,37.781093,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","branch-misses","thrpt",4,1,14.898608,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","branches","thrpt",4,1,70957.032169,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","cycles","thrpt",4,1,700426.687263,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","dTLB-load-misses","thrpt",4,1,1228.657306,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","dTLB-loads","thrpt",4,1,122076.967657,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","dTLB-store-misses","thrpt",4,1,2.062564,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","dTLB-stores","thrpt",4,1,10999.297134,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","iTLB-load-misses","thrpt",4,1,26.224704,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","instructions","thrpt",4,1,596194.255271,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","rate","thrpt",4,10,699.875285,0.466544,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","CPI","thrpt",4,1,0.980614,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","IPC","thrpt",4,1,1.019769,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","L1-dcache-loads","thrpt",4,1,582084.174385,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","L1-dcache-stores","thrpt",4,1,16009.835401,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","L1-icache-load-misses","thrpt",4,1,1418.133692,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","L1-icache-loads","thrpt",4,1,1106470.782242,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","LLC-load-misses","thrpt",4,1,0.001341,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","LLC-loads","thrpt",4,1,922.738437,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","LLC-store-misses","thrpt",4,1,0.002118,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","LLC-stores","thrpt",4,1,39.602564,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","branch-misses","thrpt",4,1,23491.932517,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","branches","thrpt",4,1,665174.680193,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","cycles","thrpt",4,1,4407735.839086,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","dTLB-load-misses","thrpt",4,1,58.581177,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","dTLB-loads","thrpt",4,1,582069.380245,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","dTLB-store-misses","thrpt",4,1,1.503117,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","dTLB-stores","thrpt",4,1,16013.337049,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","iTLB-load-misses","thrpt",4,1,196.366106,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","instructions","thrpt",4,1,4494874.363157,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesMmap","rate","thrpt",4,10,3221.143037,5.651774,"ops/s",RANDOM
"checkNearestNSWEBytesMmap","CPI","thrpt",4,1,1.164277,NaN,"clks/insn",RANDOM
"checkNearestNSWEBytesMmap","IPC","thrpt",4,1,0.858902,NaN,"insns/clk",RANDOM
"checkNearestNSWEBytesMmap","L1-dcache-loads","thrpt",4,1,179854.877461,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap","L1-dcache-stores","thrpt",4,1,11305.161973,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap","L1-icache-load-misses","thrpt",4,1,649.177215,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap","L1-icache-loads","thrpt",4,1,253575.916800,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap","LLC-load-misses","thrpt",4,1,0.001262,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap","LLC-loads","thrpt",4,1,3148.027875,NaN,"#/op",RANDOM
